Codigo,Clave,Descripcion,Adelitas,Adelitas,San Agustin,San Agustin,Matriz,Matriz,Berriozabal,Berriozabal,H Ilustres,H Ilustres
Codigo,Clave,Descripcion,Inv,Class,Inv,Class,Inv,Class,Inv,Class,Inv,Class
102380,TRU AV-1/2,BROCA AVELLANADORA P/METAL 13MM 1/2 X 2,6,C,5,C,3,A,0,Sin Mov,0,Sin Mov
21253,TRU BAS-25P,BASCULA ROMANA PRETUL BAS- 25P 25 KG.,6,Sin Mov,2,B,3,A,4,Sin Mov,0,Sin Mov
15615,TRU LL-2011M,LLAVE COMBINADA METRICA 11MM LL-2011M (L,6,Sin Mov,3,C,3,B,0,Sin Mov,0,Sin Mov
49022,TRU CORO-2,VALVULA COMP.ROSCA 50MM 2 CORO-2 FOSET,6,Sin Mov,3,Sin Mov,3,B,0,Sin Mov,0,Sin Mov
19013,TRU MAN-PI-5-1/4,MANGUERA P/AIRE ARMADA BAJA PRES.1/4X 5,6,Sin Mov,3,B,2,B,0,Sin Mov,2,C
11577,TRU JCA-4P,CEPILLOS P/TALADRO TRUPER JCA-4P,6,Sin Mov,5,A,2,A,2,C,0,Sin Mov
000862-6,BER 862-6,PINTURA VINIL BERELINTE 862 19 LTS.,0,C,3,B,0,A,2,C,1,B
45368,TRU TER-25C,TUBO TERMOCONTRACTIL 580 PZAS. TER-580C,6,Sin Mov,3,C,6,B,0,Sin Mov,0,Sin Mov
21709,TRU JJ-3P,JGO. DE HERRAMIENTAS P/JARDIN 3 PZAS. JJ,6,Sin Mov,1,C,3,B,6,C,0,Sin Mov
14246,TRU GU-215,GUANTE TRUPER GU-215 TELA CARNAZA REFORZ,6,C,2,A,0,A,7,A,0,Sin Mov
002001-5,BER BS2001-5,BASE SEMIGLOSS 2001 PASTEL 4 LTS.,6,C,3,A,0,A,0,Sin Mov,1,B
43592,TRU CERO-12,CERRADURA HERMEX CERO-12 SEG. LATON,6,Sin Mov,0,Sin Mov,1,A,5,B,0,Sin Mov
